Trade,Amount,Gain
1,10200.00,200.00
2,10404.00,204.00
3,10612.08,208.08
4,10824.32,212.24
5,11040.81,216.49
6,11261.62,220.82
7,11486.86,225.23
8,11716.59,229.74
9,11950.93,234.33
10,12189.94,239.02
11,12433.74,243.80
12,12682.42,248.67
13,12936.07,253.65
14,13194.79,258.72
15,13458.68,263.90
16,13727.86,269.17
17,14002.41,274.56
18,14282.46,280.05
19,14568.11,285.65
20,14859.47,291.36
21,15156.66,297.19
22,15459.80,303.13
23,15768.99,309.20
24,16084.37,315.38
25,16406.06,321.69
26,16734.18,328.12
27,17068.86,334.68
28,17410.24,341.38
29,17758.45,348.20
30,18113.62,355.17
31,18475.89,362.27
32,18845.41,369.52
33,19222.31,376.91
34,19606.76,384.45
35,19998.90,392.14
36,20398.87,399.98
37,20806.85,407.98
38,21222.99,416.14
39,21647.45,424.46
40,22080.40,432.95
41,22522.00,441.61
42,22972.44,450.44
43,23431.89,459.45
44,23900.53,468.64
45,24378.54,478.01
46,24866.11,487.57
47,25363.44,497.32
48,25870.70,507.27
49,26388.12,517.41
50,26915.88,527.76
51,27454.20,538.32
52,28003.28,549.08
53,28563.35,560.07
54,29134.61,571.27
55,29717.31,582.69
56,30311.65,594.35
57,30917.89,606.23
58,31536.24,618.36
59,32166.97,630.72
60,32810.31,643.34
61,33466.51,656.21
62,34135.84,669.33
63,34818.56,682.72
64,35514.93,696.37
65,36225.23,710.30
66,36949.74,724.50
67,37688.73,738.99
68,38442.51,753.77
69,39211.36,768.85
70,39995.58,784.23
71,40795.49,799.91
72,41611.40,815.91
73,42443.63,832.23
74,43292.50,848.87
75,44158.35,865.85
76,45041.52,883.17
77,45942.35,900.83
78,46861.20,918.85
79,47798.42,937.22
80,48754.39,955.97
81,49729.48,975.09
82,50724.07,994.59
83,51738.55,1014.48
84,52773.32,1034.77
85,53828.79,1055.47
86,54905.36,1076.58
87,56003.47,1098.11
88,57123.54,1120.07
89,58266.01,1142.47
90,59431.33,1165.32
91,60619.96,1188.63
92,61832.36,1212.40
93,63069.00,1236.65
94,64330.38,1261.38
95,65616.99,1286.61
96,66929.33,1312.34
